model,scenario,region,variable,unit,year,value,ssp,Annual consumption per capita (at utility peak),Scenario set,Climate policy,GHG budget,Economic trend
NA,NA,NA,Fossil,NA,2070,0.747410695909393,NA,NA,NA,NA,4Gt,Continuing GDP growth
NA,NA,NA,Fossil,NA,2080,0.752373407832013,NA,NA,NA,NA,4Gt,Continuing GDP growth
NA,NA,NA,Fossil,NA,2090,0.753781717513271,NA,NA,NA,NA,4Gt,Continuing GDP growth
NA,NA,NA,Fossil,NA,2100,0.753864221560966,NA,NA,NA,NA,4Gt,Continuing GDP growth
NA,NA,NA,Wind and Solar,NA,2020,0.32276597874992397,NA,NA,NA,NA,4Gt,Continuing GDP growth
NA,NA,NA,Wind and Solar,NA,2030,1.815212514606335,NA,NA,NA,NA,4Gt,Continuing GDP growth
NA,NA,NA,Wind and Solar,NA,2040,3.039586198286524,NA,NA,NA,NA,4Gt,Continuing GDP growth
NA,NA,NA,Wind and Solar,NA,2050,4.068300455330738,NA,NA,NA,NA,4Gt,Continuing GDP growth
NA,NA,NA,Wind and Solar,NA,2060,4.690067971033728,NA,NA,NA,NA,4Gt,Continuing GDP growth
NA,NA,NA,Wind and Solar,NA,2070,5.2109941177633745,NA,NA,NA,NA,4Gt,Continuing GDP growth
NA,NA,NA,Wind and Solar,NA,2080,5.585874519629196,NA,NA,NA,NA,4Gt,Continuing GDP growth
NA,NA,NA,Wind and Solar,NA,2090,5.816000041567079,NA,NA,NA,NA,4Gt,Continuing GDP growth
NA,NA,NA,Wind and Solar,NA,2100,5.887632215986165,NA,NA,NA,NA,4Gt,Continuing GDP growth
