country,iso3c,date,Biophysical_Historical,Social_Historical
Spain,ESP,2015,1,0.7272727272727273
Sri Lanka,LKA,2015,0.16666666666666666,0.36363636363636365
Sudan,SDN,2015,0,0
Sweden,SWE,2015,1,0.9090909090909092
Switzerland,CHE,2015,0.8333333333333333,1
Syrian Arab Republic,SYR,2015,0.5,0.16666666666666666
Tajikistan,TJK,2015,0,0.18181818181818182
Tanzania,TZA,2015,0.16666666666666666,0.09090909090909091
Thailand,THA,2015,0.8333333333333333,0.4545454545454546
Togo,TGO,2015,0,0.1111111111111111
Trinidad and Tobago,TTO,2015,0.3333333333333333,0.6000000000000001
Tunisia,TUN,2015,0.5,0.3333333333333333
Turkey,TUR,2015,0.8333333333333333,0.4
Turkmenistan,TKM,2015,0.6666666666666666,0.5
Uganda,UGA,2015,0.16666666666666666,0.09090909090909091
Ukraine,UKR,2015,1,0.5454545454545454
United Arab Emirates,ARE,2015,0.6666666666666666,0.7000000000000001
United Kingdom,GBR,2015,0.8333333333333333,0.9090909090909092
United States,USA,2015,1,0.9090909090909092
Uruguay,URY,2015,1,0.7272727272727273
Uzbekistan,UZB,2015,0.3333333333333333,0.5555555555555556
"Venezuela, RB",VEN,2015,1,0.2
Vietnam,VNM,2015,0.6666666666666666,0.4
West Bank and Gaza,PSE,2015,0,0.125
"Yemen, Rep.",YEM,2015,0,0
Zambia,ZMB,2015,0.16666666666666666,0
Zimbabwe,ZWE,2015,0.3333333333333333,0.1
